"month","layer","date","season"
4,171,2014-04-01,"spring"
5,172,2014-05-01,"spring"
6,173,2014-06-01,"summer"
7,174,2014-07-01,"summer"
8,175,2014-08-01,"summer"
9,176,2014-09-01,"fall"
10,177,2014-10-01,"fall"
11,178,2014-11-01,"fall"
12,179,2014-12-01,"winter"
1,180,2015-01-01,"winter"
2,181,2015-02-01,"winter"
3,182,2015-03-01,"spring"
4,183,2015-04-01,"spring"
5,184,2015-05-01,"spring"
6,185,2015-06-01,"summer"
7,186,2015-07-01,"summer"
8,187,2015-08-01,"summer"
9,188,2015-09-01,"fall"
10,189,2015-10-01,"fall"
11,190,2015-11-01,"fall"
12,191,2015-12-01,"winter"
1,192,2016-01-01,"winter"
2,193,2016-02-01,"winter"
3,194,2016-03-01,"spring"
4,195,2016-04-01,"spring"
5,196,2016-05-01,"spring"
6,197,2016-06-01,"summer"
7,198,2016-07-01,"summer"
8,199,2016-08-01,"summer"
9,200,2016-09-01,"fall"
10,201,2016-10-01,"fall"
11,202,2016-11-01,"fall"
12,203,2016-12-01,"winter"
1,204,2017-01-01,"winter"
2,205,2017-02-01,"winter"
3,206,2017-03-01,"spring"
4,207,2017-04-01,"spring"
5,208,2017-05-01,"spring"
6,209,2017-06-01,"summer"
7,210,2017-07-01,"summer"
8,211,2017-08-01,"summer"
9,212,2017-09-01,"fall"
10,213,2017-10-01,"fall"
11,214,2017-11-01,"fall"
12,215,2017-12-01,"winter"
1,216,2018-01-01,"winter"
2,217,2018-02-01,"winter"
3,218,2018-03-01,"spring"
4,219,2018-04-01,"spring"
5,220,2018-05-01,"spring"
6,221,2018-06-01,"summer"
7,222,2018-07-01,"summer"
8,223,2018-08-01,"summer"
9,224,2018-09-01,"fall"
10,225,2018-10-01,"fall"
11,226,2018-11-01,"fall"
12,227,2018-12-01,"winter"
1,228,2019-01-01,"winter"
2,229,2019-02-01,"winter"
3,230,2019-03-01,"spring"
4,231,2019-04-01,"spring"
5,232,2019-05-01,"spring"
6,233,2019-06-01,"summer"
